,Hotel_Address,Additional_Number_of_Scoring,Review_Date,Average_Score,Hotel_Name,Reviewer_Nationality,Negative_Review,Review_Total_Negative_Word_Counts,Total_Number_of_Reviews,Positive_Review,Review_Total_Positive_Word_Counts,Total_Number_of_Reviews_Reviewer_Has_Given,Reviewer_Score,Tags,days_since_review,lat,lng,geom,city
71764,173 185 Greenwich High Rd Greenwich London SE10 8JA United Kingdom,274,8/21/2016,8.6,Novotel London Greenwich, United Kingdom ,No Negative,0,924, Greated with a smile and very friendly staff Really comfy rooms Toilet was desperate had a bath and a shower and very comfy bed and sofa bed if you needed ,32,1,10.0,"[' Leisure trip ', ' Couple ', ' Executive Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",347 day,51.4778583,-0.0137463,"51.4778583,-0.0137463",London
158136,35 39 St Georges Drive Westminster Borough London SW1V 4DG United Kingdom,120,11/16/2016,8.4,Georgian House Hotel, United Kingdom , There was no where in the room which stated receptions telephone number so at 1am I had to go down to reception which wasn t great The room was at the front of the building around 5am 6am when the traffic started building we were woken up many times as there wasn t much sound protection ,58,918, Great location Helpful staff Good sized room Breakfast was lovely ,12,1,8.8,"[' Leisure trip ', ' Couple ', ' Classic Double or Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",260 day,51.490724,-0.143868,"51.490724,-0.143868",City of Westminster
256722,86 Rue Saint Denis 1st arr 75001 Paris France,18,2/19/2017,9.0,Snob Hotel by Elegancia, United Kingdom , The breakfast was shown on the confirmation as 7euro per person but the hotel claimed on arrival it was 10euro we went elsewhere,24,246, Superb hotel great location and fab staff,8,10,10.0,"[' Leisure trip ', ' Couple ', ' Classic Double Room with Courtyard View ', ' Stayed 1 night ', ' Submitted from a mobile device ']",165 day,48.8622723,2.3495707,"48.8622723,2.3495707",Paris
408656,Piazza Lima 2 Central Station 20124 Milan Italy,298,3/17/2017,8.5,Best Western Plus Hotel Galles, United States of America ,No Negative,0,3550, Everything ,3,3,10.0,"[' Leisure trip ', ' Solo traveler ', ' Single Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",139 day,45.4805847,9.2117326,"45.4805847,9.2117326",Milano
398122,Paseo Garc a Faria 37 47 Sant Mart 08019 Barcelona Spain,241,9/24/2016,8.2,Occidental Atenea Mar Adults Only, Sweden , Mould in the shower Sun beds at the hotel 20 each ,13,2500, Fantastic breakfast Great location ,6,7,7.5,"[' Business trip ', ' Solo traveler ', ' Superior Double or Twin Room ', ' Stayed 1 night ']",313 day,41.402362100000005,2.2119049,"41.402362100000005,2.2119049",Barcelona
145008,31 34 Queen s Gate Kensington and Chelsea London SW7 5JA United Kingdom,524,4/8/2017,8.2,The Queens Gate Hotel, United Kingdom , Cold room,3,2516, Room was little cold no heating but everything else find,11,1,7.5,"[' Leisure trip ', ' Couple ', ' Standard Queen Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",117 day,51.4981225,-0.1799693,"51.4981225,-0.1799693",London
198972,5 Fairmont Avenue Canary Wharf Tower Hamlets London E14 9JB United Kingdom,620,1/6/2016,9.0,Radisson Blu Edwardian New Providence Wharf, United Kingdom ,No Negative,0,1974, Staff were extremely helpful but not overbearing ,9,2,10.0,"[' Business trip ', ' Couple ', ' Superior King or Twin Room ', ' Stayed 1 night ']",575 day,51.506557799999996,-0.004514,"51.506557799999996,-0.004514",London
112715,225 Edgware Road Westminster Borough London W2 1JU United Kingdom,1485,3/14/2016,7.5,Hilton London Metropole, United Kingdom , The room was a queen deluxe room with king size bed this is a small room and a double bed Advert was misleading Terrible noise every 1 minute or so apparently which woke me at 08 45 and spoiled my unpacking at 17 20 Have stayed here twice now but will look elsewhere for another time rather than this disappointment again ,63,6977, ease of access to local area Excellent facilities,9,6,7.5,"[' Leisure trip ', ' Couple ', ' Deluxe Queen Room ', ' Stayed 1 night ']",507 day,51.519568799999995,-0.170521,"51.519568799999995,-0.170521",City of Westminster
72633,173 Gloucester Place Westminster Borough London NW1 6DX United Kingdom,468,3/20/2016,7.7,Park Avenue Baker Street, Italy , too expensive for small rooms in the cellar and uncomfortable bed,12,1913,No Positive,0,8,5.8,"[' Business trip ', ' Solo traveler ', ' Deluxe Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",501 day,51.52414520000001,-0.16099070000000001,"51.52414520000001,-0.16099070000000001",City of Westminster
418876,Prins Hendrikkade 108 Amsterdam City Center 1011 AK Amsterdam Netherlands,207,11/12/2015,8.3,Grand Hotel Amr th Amsterdam, Italy ,No Negative,0,1530, That s our place in Amsterdam ,8,1,10.0,"[' Leisure trip ', ' Couple ', ' Superior Deluxe Room ', ' Stayed 5 nights ', ' Submitted from a mobile device ']",630 day,52.3744149,4.9041443,"52.3744149,4.9041443",Amsterdam
324359,Fizeaustraat 2 Oost 1097 SC Amsterdam Netherlands,188,12/6/2016,9.1,Hotel V Fizeaustraat, Belgium ,No Negative,0,1708, trendy hipster original formula,5,13,9.6,"[' Business trip ', ' Couple ', ' Double Room ', ' Stayed 1 night ']",240 day,52.3451511,4.925237200000001,"52.3451511,4.925237200000001",Amsterdam
437273,Royal Victoria Dock Western Gateway Newham London E16 1AL United Kingdom,879,4/5/2016,8.8,Crowne Plaza London Docklands, United Kingdom , Nothing all great,4,2768, The staff was amazing was my girlfriends birthday free up grade gave her balloons and made us feel very welcome,21,1,9.6,"[' Leisure trip ', ' Couple ', ' Standard Double or Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",485 day,51.5083537,0.0198855,"51.5083537,0.0198855",London
61547,153 Rue De Vaugirard 15th arr 75015 Paris France,90,6/7/2017,7.8,Best Western S vres Montparnasse, Canada ,No Negative,0,1544, Stylish and clean room Very cozy We loved it ,11,2,10.0,"[' Leisure trip ', ' Couple ', ' Classic Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",57 days,48.843707,2.3155631000000003,"48.843707,2.3155631000000003",Paris
5624,1 Addington Street Lambeth London SE1 7RY United Kingdom,1322,1/2/2017,8.4,Park Plaza County Hall London, United Kingdom , When we booked hotel back in Jan 16 we requested room with a view of London eye In November had email to say our room did not have a view We could upgrade for 300 a night Unfortunately we could not cancel booking without loosing full amount So we had no choice We were on Level 4 and waited on average 20 30 minutes for 1 of 4 lifts Really bad On arrival we were offered Breakfast at an additional cost which we agreed on First morning there was a que of about 45 minutes for a seat in the dining room Not what I would have expected for this class of hotel ,115,6117, The beds and pillows were comfortable Tea and coffee facilities in room ,14,2,5.8,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",213 day,51.5014001,-0.11600919999999999,"51.5014001,-0.11600919999999999",London
75521,18 Albert Embankment Lambeth London SE1 7TJ United Kingdom,1195,4/6/2017,8.3,Park Plaza London Riverbank, United Kingdom ,No Negative,0,4684, Our room was upgraded possibly on basis of being a special occasion ,14,2,9.6,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",119 day,51.491373700000004,-0.1214194,"51.491373700000004,-0.1214194",London
259175,9 Knaresborough Place Kensington and Chelsea London SW5 0TP United Kingdom,107,5/3/2017,9.0,Hotel Moonlight, United Kingdom , Hotel has no reception,5,617,No Positive,0,1,10.0,"[' Leisure trip ', ' Solo traveler ', ' Single Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",92 days,51.4940285,-0.19104970000000002,"51.4940285,-0.19104970000000002",London
33917,11 Knightsbridge Westminster Borough London SW1X 7LY United Kingdom,56,5/20/2016,9.0,The Wellesley Knightsbridge a Luxury Collection Hotel London, United Kingdom ,No Negative,0,185, Everything was perfect great location friendly staff and a beautiful hotel amazing service,14,4,10.0,"[' Leisure trip ', ' Couple ', ' Deluxe King Room ', ' Stayed 1 night ']",440 day,51.502485,-0.15392650000000002,"51.502485,-0.15392650000000002",City of Westminster
82729,190 Queen s Gate Kensington and Chelsea London SW7 5EX United Kingdom,227,5/12/2016,8.6,The Gore Hotel Starhotels Collezione, United Kingdom , Room service menu far too limited but breakfast options excellent and made up for it ,17,968, Wonderful Hotel like stepping back in time helpful staff delightful rooms ,13,5,9.6,"[' Leisure trip ', ' Family with older children ', ' Deluxe Triple Room ', ' Stayed 1 night ']",448 day,51.500197899999996,-0.17953570000000002,"51.500197899999996,-0.17953570000000002",City of Westminster
289874,Bridges Court Road Battersea London SW11 3BE United Kingdom,301,5/1/2017,8.8,Crowne Plaza London Battersea, United Kingdom ,No Negative,0,1071, Complimentary breakfast,3,29,8.8,"[' Business trip ', ' Solo traveler ', ' Deluxe Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",94 days,51.4689559,-0.1787256,"51.4689559,-0.1787256",London
110027,22 Park Lane Westminster Borough London W1K 1BE United Kingdom,296,9/8/2015,7.8,London Hilton on Park Lane, United Kingdom , Didn t appear to have free WiFi,8,943, Ambience and very helpful staff ,7,23,8.8,"[' Leisure trip ', ' Couple ', ' Deluxe King Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",695 day,51.5055513,-0.1501698,"51.5055513,-0.1501698",City of Westminster
366702,Lange Gasse 13 08 Josefstadt 1080 Vienna Austria,164,10/22/2015,9.3,Hotel Rathaus Wein Design, United States of America ,No Negative,0,1120, Location breakfast great hotel ,6,3,9.6,"[' Leisure trip ', ' Group ', ' Double Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",651 day,48.2075294,16.3525967,"48.2075294,16.3525967",Wien
170168,39 40 Dorset Square Hotel Westminster Borough London NW1 6QN United Kingdom,61,6/21/2016,9.0,Dorset Square Hotel, United Kingdom , Nothing ,3,263, True boutique hotel extremely nice experience all round Staff were exceptional ,13,8,10.0,"[' Leisure trip ', ' Couple ', ' Superior Room ', ' Stayed 1 night ']",408 day,51.52263610000001,-0.16028710000000002,"51.52263610000001,-0.16028710000000002",City of Westminster
471238,Via Angelo Carlo Fumagalli 4 Navigli 20143 Milan Italy,199,3/31/2016,8.6,Art Hotel Navigli, Sweden , Stressful service at breakfast,5,3636, Free self service coffe and cookies Very nice art collection Good breakfast,13,13,7.9,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",490 day,45.4501306,9.1696481,"45.4501306,9.1696481",Milano
238191,7 Pepys Street City of London London EC3N 4AF United Kingdom,1936,10/17/2016,8.7,DoubleTree by Hilton Hotel London Tower of London, United Kingdom , All ok ,4,7491, Good location good breakfast clean,6,1,7.9,"[' Leisure trip ', ' Group ', ' Twin Room ', ' Stayed 2 nights ']",290 day,51.5108412,-0.0780581,"51.5108412,-0.0780581",City of London
354210,K rntnerstra e 18 Eingang Neuer Markt 3 01 Innere Stadt 1010 Vienna Austria,325,2/11/2017,8.6,Austria Trend Hotel Europa Wien, Qatar ,No Negative,0,3221, Great location great staff ,6,7,10.0,"[' Leisure trip ', ' Couple ', ' Classic Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",173 day,48.206210299999995,16.3710387,"48.206210299999995,16.3710387",Wien
251230,80 86 Belgrave Road Westminster Borough London SW1V 2BJ United Kingdom,391,11/29/2015,8.6,The Belgrave Hotel, United Kingdom , I felt sorry for a young family with a small baby who came down to breakfast close to closing time They were sent away without very much compassion from the catering staff ,34,2685, The hotel staff were friendly and the size of the hotel made us feel personal and not lost in hundreds of other guests ,25,2,8.3,"[' Leisure trip ', ' Couple ', ' Compact Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",613 day,51.4901051,-0.1381355,"51.4901051,-0.1381355",City of Westminster
18790,10 Carlisle Street Westminster Borough London W1D 3BR United Kingdom,329,5/27/2016,9.0,The Nadler Soho, Turkey ,No Negative,0,1394, I first check the availability in Nadler Soho then I buy the plane tickets Always my favourite hotel in London ,22,31,10.0,"[' Leisure trip ', ' Solo traveler ', ' Superior King or Twin Room ', ' Stayed 3 nights ']",433 day,51.5147387,-0.1341108,"51.5147387,-0.1341108",City of Westminster
206398,51 Gloucester Terrace Westminster Borough London W2 3DQ United Kingdom,126,1/1/2017,8.9,The Westbourne Hyde Park, United Arab Emirates , No restaurant,3,716, Friendly staff Cleanest The best thing safest place ,10,3,9.6,"[' Leisure trip ', ' Family with young children ', ' Deluxe Double Studio ', ' Stayed 6 nights ', ' Submitted from a mobile device ']",214 day,51.513107399999996,-0.17787070000000002,"51.513107399999996,-0.17787070000000002",City of Westminster
30835,10a Chestnut Plaza Westfield Stratford City Olympic Park Newham London E20 1GL United Kingdom,641,9/25/2016,8.7,Holiday Inn London Stratford City, United Kingdom , Lost an item at the hotel and was told it was found Waited for 25 mins for someone to come to tell me they haven t We stayed for 2 nights and was told there would be a sofa bed in the room as we had a 9 year old with us No bed and didn t arrange one so someone had to sleep on a chair ,69,2130,No Positive,0,4,4.2,"[' Leisure trip ', ' Family with young children ', ' 2 rooms ', ' Stayed 1 night ', ' Submitted from a mobile device ']",312 day,51.5426054,-0.0072708,"51.5426054,-0.0072708",London
475059,Via Felice Casati 18 Central Station 20124 Milan Italy,174,12/12/2016,8.4,Best Western Plus Hotel Felice Casati, Hungary , Was very warm in the room could not adjust it ,12,1817, Close to downtown silent friendly Breakfast quite good ,10,9,9.6,"[' Leisure trip ', ' Couple ', ' Economy Double Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",234 day,45.4787357,9.204113099999999,"45.4787357,9.204113099999999",Milano
316220,Eerste Constantijn huygensstraat 26G Oud West 1054 BR Amsterdam Netherlands,272,11/19/2015,8.1,Amadi Park Hotel, Ireland , No bad experiences really only thing I would say is that when the room was turned over the floor wasn t cleaned But nothing other than that ,29,1615, All staff were very accommodating and very friendly The room was lovely and clean Would definitely come back to this hotel if visiting Amsterdam again Thank you for a lovely stay ,33,2,9.2,"[' Leisure trip ', ' Couple ', ' Small Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",623 day,52.364962,4.873495,"52.364962,4.873495",Amsterdam
